grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto_HARD,primeiro_composto_INTERMEDIATE,primeiro_composto_MEDIUM,primeiro_composto_SOFT,primeiro_composto_SUPERSOFT,primeiro_composto_None,composto_mais_utilizado_HARD,composto_mais_utilizado_INTERMEDIATE,composto_mais_utilizado_MEDIUM,composto_mais_utilizado_SOFT,composto_mais_utilizado_SUPERSOFT,composto_mais_utilizado_None,rainfall_ocorreu
15.0,0.05358045778013354,23.583,4.0,2.0,14.2,20.460109289617503,46.775956284153,58.17486338797814,927.9005464480872,1.3092896174863373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,0.02644897857844164,23.453,4.0,2.0,14.2,20.460109289617503,46.775956284153,58.17486338797814,927.9005464480872,1.3092896174863373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17.0,-0.0020056291324399567,23.955,4.0,2.0,14.0,20.460109289617503,46.775956284153,58.17486338797814,927.9005464480872,1.3092896174863373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
18.0,0.504602706861057,22.4045,3.0,2.0,9.75,20.460109289617503,46.775956284153,58.17486338797814,927.9005464480872,1.3092896174863373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,1.0660671549785894,24.367,4.0,2.0,14.0,20.460109289617503,46.775956284153,58.17486338797814,927.9005464480872,1.3092896174863373,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20.0,0.33191892295505454,22.6045,3.0,2.0,5.5,20.460109289617503,46.775956284153,58.17486338797814,927.9005464480872,1.3092896174863373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,-0.48668410624380654,24.764,2.0,1.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,-0.5858264626531773,25.698,2.0,1.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3.0,0.0,25.431,2.0,2.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4.0,-0.3218138599378251,23.50275,1.0,1.0,34.5,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5.0,0.22019252135548895,28.167,2.0,2.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6.0,-0.31916490387627894,24.573,2.0,1.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7.0,0.05146736963201337,23.50275,0.0,0.0,22.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8.0,-0.1653355113387711,26.05,2.0,1.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9.0,0.01553425901584804,25.107,2.0,1.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10.0,0.05146736963201337,23.50275,0.0,0.0,22.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
11.0,0.8983273363804445,23.50275,1.0,1.0,34.5,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12.0,0.4324097018398865,26.692,2.0,2.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13.0,-0.3732920980465515,23.50275,1.0,1.0,34.5,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
14.0,0.28922477084926124,25.205,2.0,1.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15.0,0.45077603352231543,35.755,2.0,1.0,23.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16.0,0.6668227863076415,25.262999999999998,2.0,1.0,15.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17.0,-1.1053795136330202,23.50275,1.0,1.0,34.5,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18.0,0.0370359483848226,28.59,3.0,2.0,7.5,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19.0,1.7162475026364588,26.1575,4.0,2.0,13.8,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20.0,0.4844379412262123,25.92,2.0,1.0,13.0,21.66268656716417,25.769651741293544,85.2587064676617,926.4567164179118,0.7358208955223883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,-0.7670143257173079,23.363999999999997,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,-0.5313538843571108,23.378500000000003,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,0.7188938454156135,23.50275,0.0,1.0,6.0,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,-0.715900780311729,28.8785,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,0.3517265359616939,23.584,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.0,-0.4411302036964049,23.243000000000002,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.0,0.4554189914518947,22.899,1.0,2.0,35.5,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,-0.10192722932286236,24.201,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.0,0.32344125687557845,23.6605,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.0,0.6204210265511212,23.086,1.0,2.0,35.5,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,0.20003564991779577,23.752499999999998,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.0,0.3385686071663674,23.0865,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13.0,0.5971331939489954,30.752,3.0,3.0,9.25,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14.0,0.0,23.364,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15.0,0.36594453611540345,24.649,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16.0,0.1459420015675228,24.917,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17.0,0.025654855836976243,33.841,3.0,2.0,17.75,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18.0,0.05146736963201337,23.50275,0.0,1.0,1.0,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19.0,-0.8049784316087438,23.197,3.0,3.0,17.75,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20.0,0.12468331763739737,24.1905,2.0,2.0,23.666666666666668,17.34802631578948,30.69276315789474,70.57236842105263,929.708552631579,1.5098684210526314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
